Entity,Code,Day,Training dataset size
GLaM,,2021-12-13,600000000000
GNMT,,2016-09-26,388960160000
GOAT,,2021-07-27,390000000000
GPT-1,,2018-06-01,1000000000
GPT-2 (1.5B),,2019-02-14,8000000000
GPT-3 175B (davinci),,2020-05-28,374000000000
GPT-4,,2023-03-15,4900000000000
GPT-NeoX-20B,,2022-02-09,341173370000
GPU DBNs,,2009-06-15,1000000
GPipe (Amoeba),,2018-11-16,1281167
GPipe (Transformer),,2018-11-16,20000000000
GSM,,2017-07-30,4000000
GShard (dense),,2020-06-30,346666660000
Galactica,,2022-11-16,106000000000
Gato,,2022-05-12,524288000000
German ELECTRA Large,,2020-10-21,36383730000
GloVe (32B),,2014-01-01,42000000000
GloVe (6B),,2014-01-01,6000000000
Golem,,1992-10-01,1612
GoogLeNet / InceptionV1,,2014-09-17,1200000
Gopher (280B),,2021-12-08,300000000000
GroupLens,,1994-10-22,100000000
HLBL,,2008-12-08,14000000
HMM Word Alignment,,1996-08-05,442316
Handwritten Digit Recognition System,,1989-01-01,9840
Hierarchical Cognitron,,1984-04-01,5
Hierarchical LM,,2005-01-01,1000000
Hiero,,2005-06-01,171400000
Histograms of Oriented Gradients,,2005-06-25,1805
HuBERT,,2021-07-27,820800000
HyenaDNA,,2023-06-27,2945000000
IBM Model 4,,1999-07-02,800000
IBM-5,,1993-06-15,53358600
IMPALA,,2018-02-05,240000000000
ISR network,,1990-10-01,9000
Image generation,,2013-12-20,60000
Imagen,,2022-05-23,860000000
Inception v3,,2015-12-02,1200000
Innervator,,1989-01-01,4
InstructGPT,,2022-01-27,374000030000
InternImage,,2022-11-10,427000000
InternLM,,2023-07-06,750000000000
Invariant CNN,,2004-06-27,24300
Iterative Bootstrapping WSD,,1995-06-26,460000000
JFT,,2017-07-10,300000000
JPMAX,,1994-01-01,1500
Jais,,2023-08-29,300000000000
Jurassic-1-Jumbo,,2021-08-11,225000000000
KEPLER,,2020-11-23,3300000000
KN-LM,,2007-06-22,31000000000
KN5 LM + RNN 400/10 (WSJ),,2010-09-26,6400000
KataGo,,2019-02-27,241000000
LDM-1.45B,,2021-12-20,400000000
LEP-AD,,2023-03-15,1244420
LISSOM,,1995-11-27,2000
LLaMA-65B,,2023-02-24,1340000000000
LLaVA 1.5,,2023-11-05,1200000
LMICA,,2004-12-01,100000
LMS,,1960-06-30,6
LRCN,,2014-11-07,40000
LSTM,,1997-11-15,1273000
"LSTM (Hebbian, Cache, MbPA)",,2018-03-27,4300000000
LSTM LM,,2012-01-01,27000000
LSTM with forget gates,,1999-01-02,30000
LTE speaker verification system,,1966-11-01,417
LUKE,,2020-10-02,3500000000
LaMDA,,2022-02-10,1560000000000
LaNet-L (CIFAR-10),,2019-06-17,60000
LeNet-5,,1998-11-01,60000
Linear Decision Functions,,1962-06-01,500
Llama 2-70B,,2023-07-18,1500000000000
Llama 2-7B,,2023-07-18,1500000000000
Llama 3-70B,,2024-04-18,15000000000000
Llama 3.1-405B,,2024-07-23,15600000000000
Llama Guard,,2023-12-07,4096000
LongT5,,2021-12-15,200000000000
M6-T,,2021-03-05,1900000000000
MCDNN (MNIST),,2012-02-13,60000
MLN-ASR,,1988-08-01,1400
MLP baggage detector,,1989-01-01,40000
MM1-30B,,2024-03-14,1500000000000
MSA Transformer,,2021-02-13,9297600000000
"MSRA (C, PReLU)",,2015-02-06,1280000
MUSIC perceptron,,1996-06-03,27000
Mamba-24M (SC09),,2023-12-01,305280000
Masked Autoencoders,,2021-11-11,1281167
MatrixFac for Recommenders,,2009-08-07,100480504
Max-Margin Markov Networks,,2004-03-01,600
Maximum Entropy Models for machine translation,,2002-07-06,519523
Meena,,2020-01-28,40000000000
Megatron-BERT,,2019-09-17,46400000000
Megatron-LM (8.3B),,2019-09-17,34800000000
Megatron-Turing NLG 530B,,2021-10-11,202500000000
Mesh-TensorFlow Transformer 2.9B (translation),,2018-11-05,1800000000
Mesh-TensorFlow Transformer 4.9B (language),,2018-11-05,6333333500
Meta Pseudo Labels,,2021-03-01,130000000
Minerva (540B),,2022-06-29,26000000000
Mitosis,,2013-09-22,1000000
Mixture of linear models,,1994-01-01,7000
MnasNet-A1 + SSDLite,,2019-05-29,118000
MnasNet-A3,,2019-05-29,1280000
Mnemonic Reader,,2017-05-08,107785
MoE-Multi,,2017-01-23,133000000000
Monocular Depth Prediction,,2005-12-05,2933137
Motion-Driven 3D Feature Tracking,,1988-07-01,1500
MuZero,,2019-11-19,20000000000
Multilingual DNN,,2013-05-26,77580000
Multiresolution CNN,,2014-06-23,50000000
NASv3 (CIFAR-10),,2016-11-05,50000
NLLB,,2022-07-06,360000000000
NLP from scratch,,2011-11-08,852000000
NPLM,,2003-03-15,1000000
Named Entity Recognition model,,2016-05-29,204567
Nemotron-3-8B,,2023-11-15,3800000000000
Nemotron-4 340B,,2024-06-14,6750000000000
Neocognitron,,1980-04-01,5
NetTalk (dictionary),,1987-06-06,1000
NetTalk (transcription),,1987-06-06,1024
Neural LM,,2000-01-01,33100000
NeuroChess,,1994-01-01,120000
Noisy Student (L2),,2019-11-11,81000000
Nucleotide Transformer,,2023-01-15,300000000000
ONE-PEACE,,2023-05-18,1600000000
OPT-175B,,2022-05-02,180000000000
OR-WideResNet,,2017-01-07,50000
OpenAI Five,,2019-12-13,454321370000
OpenAI Five Rerun,,2019-12-13,53084160000
OpenVLA,,2024-06-13,970000
PLATO-XL,,2021-09-20,150000000000
PNASNet-5,,2017-12-02,1280000
