Entity,Code,Year,Agriculture,Transportation and logistics,Hospitality,Professional cleaning,Medical robotics
World,OWID_WRL,2021,7000,60000,11000,6000,10000
World,OWID_WRL,2022,8000,86000,25000,7000,9000
