Entity,Code,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation
BloombergGPT,,2023-03-30,236000020,50558869504,Academia and industry collaboration
Boosting,,1992-11-30,,2578,Industry
Boss (DARPA Urban Challenge),,2008-07-23,,,Academia
ByT5-XXL,,2021-05-28,81000000,12899999744,Industry
CICERO,,2022-11-22,,,Industry
CLIP (ResNet-50),,2021-01-05,,88600000,Industry
CLIP (ViT L/14@336px),,2021-01-05,10500000,370000000,Industry
CNN Best Practices,,2003-08-06,,,Industry
CODEFUSION (Python),,2023-10-26,7920,75000000,Industry
CPC v2,,2019-05-22,,303000000,Academia and industry collaboration
CPM-Large,,2020-12-01,1800000,2600000000,Academia
CRF-RNN,,2015-02-11,,,Academia and industry collaboration
CT-MoS (WT2),,2020-12-25,562,45000000,Academia and industry collaboration
CTC-Trained LSTM,,2006-06-25,,114662,Academia
CTM (CIFAR-10),,2023-10-01,,,Academia and industry collaboration
CURL,,2020-04-08,,907264,Academia
CaLM,,2022-12-19,29000,86000000,Academia
CamemBERT,,2019-11-10,830000,335000000,Academia and industry collaboration
Cancer drug mechanism prediction,,1992-10-16,5.346e-8,594,Other
CapsNet (MNIST),,2017-10-26,,8200000,Industry
CapsNet (MultiMNIST),,2017-10-26,,11360000,Industry
Cascaded LNet-ANet,,2014-11-28,,,Academia
Ceramic-MLP,,1994-01-01,0.0000045312,1888,Academia
Char-CNN-BiLSTM,,2019-06-13,,,Industry
Character-enriched word2vec,,2016-07-15,,,Industry
ChatGLM3-6B,,2023-10-27,50400000,6000000000,Industry
Chinchilla,,2022-03-29,576000000,70000001024,Industry
Chinese - English translation,,2018-03-01,,,Industry
Claude,,2023-03-14,,,Industry
Claude 2,,2023-07-11,3866000100,,Industry
Claude 2.1,,2023-11-21,,,Industry
Claude 3 Opus,,2024-03-04,,,Industry
Claude 3.5 Sonnet,,2024-06-20,,,Industry
CoAtNet,,2021-06-09,42700004,2440000000,Industry
CoCa,,2022-06-14,73000000,2100000000,Industry
CoEdiT-xxl,,2023-05-17,,11000000512,Academia and industry collaboration
CoRe,,2023-12-29,,12400000000,Academia
CodeT5+,,2023-05-20,,16000000000,Industry
CodeT5-base,,2021-11-01,1560000.1,220000000,Academia and industry collaboration
CodeT5-large,,2022-07-05,2720000,770000000,Industry
Codex,,2021-07-07,73440000,12000000000,Industry
CogAgent,,2023-12-14,67070004,17999998976,Academia and industry collaboration
CogVLM-17B,,2023-11-06,63310000,16999999488,Academia and industry collaboration
CogVideo,,2022-05-29,,9400000512,Academia
CogView,,2021-05-26,26800000,4000000000,Academia and industry collaboration
Cognitron,,1975-09-01,5.76e-9,28800,Industry
Cohere Embed,,2023-11-02,,,Industry
Conformer,,2020-05-16,,118800000,Industry
Conformer + Wav2vec 2.0 + Noisy Student,,2020-10-20,7600000,1000000000,Industry
Constituency-Tree LSTM,,2015-02-28,,205190,Academia and industry collaboration
Context-dependent RNN,,2012-07-27,,,Academia and industry collaboration
ContextNet,,2020-05-07,,112700000,Industry
ContextNet + Noisy Student,,2020-01-19,8160000,,Industry
Contriever,,2021-12-16,157000,110000000,Academia and industry collaboration
Conv-DBN,,2009-06-14,,,Academia
ConvNet similarity metric,,2005-06-20,,,Academia
ConvS2S (ensemble of 8 models),,2017-07-25,56400,,Industry
Convolutional Pose Machines,,2016-01-30,,,Academia
Cross-Lingual POS Tagger,,2011-06-19,,,Academia and industry collaboration
Cross-lingual alignment,,2019-04-04,2560,,Academia
Cutout-regularized net,,2017-08-15,,,Other
DALL-E,,2021-01-05,47000000,12000000000,Industry
DALL·E 2,,2022-04-06,,3500000000,Industry
DALL·E 3,,2023-10-19,,,Industry
DANet,,2019-04-21,,,Academia
DARTS,,2018-06-24,11,33000000,Academia and industry collaboration
DBLSTM,,2013-12-08,,29900000,Academia
DCN+,,2017-10-31,,,Industry
DD-PPO,,2019-12-19,780000.06,,Academia and industry collaboration
DDPM-IP (CelebA),,2023-01-27,350000,295000000,Academia
DETR,,2020-05-26,400000,60000000,Industry
DINOv2,,2023-04-14,7418511,1140000000,Academia and industry collaboration
DITTO,,2022-06-06,11000,750000000,Academia and industry collaboration
DImensionality Reduction,,2006-07-18,,3800000,Academia
DLRM-2020,,2019-05-31,4000,99999997952,Industry
DMN,,2016-06-20,,,Industry
DNABERT,,2021-08-15,107000.01,110000000,Academia
DOT(S)-RNN,,2013-12-20,,6160000,Academia
