Entity,Code,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation
Maximum Entropy Models for machine translation,,2002-07-06,,,Academia
Maximum compute,,1950-07-02,4e-14,40,Industry
Maximum compute,,1957-01-01,6.948949e-10,1000,Academia
Maximum compute,,1959-02-01,6e-7,,Academia
Maximum compute,,1960-03-30,7.2e-7,1000,Academia
Maximum compute,,1987-06-06,0.000028328002,18629,Academia
Maximum compute,,1989-01-01,0.00018144,2578,Industry
Maximum compute,,1992-05-01,0.018232157,25000,Industry
Maximum compute,,1994-01-01,0.018621901,206910,Academia
Maximum compute,,1997-11-15,0.021008,10504,Academia
Maximum compute,,2000-01-01,6.339,6906980,Academia
Maximum compute,,2007-06-22,1449.4465,299999985664,Industry
Maximum compute,,2013-01-16,2612.736,,Industry
Maximum compute,,2014-09-10,56000,1920000000,Industry
Maximum compute,,2015-10-01,380000.03,8209984,Industry
Maximum compute,,2016-09-26,6620000,278000000,Industry
Maximum compute,,2017-10-18,341000000,46400244,Industry
Maximum compute,,2021-09-03,2047000000,137000001536,Industry
Maximum compute,,2022-06-29,2741500200,540349988864,Industry
Maximum compute,,2023-12-06,50000003000,,Industry
Maximum data,,1950-07-02,4e-14,40,Industry
Maximum data,,1955-03-01,,225,Academia
Maximum data,,1959-07-01,4.284e-7,16,Industry
Maximum data,,1983-09-01,3.24e-7,324,Academia
Maximum data,,1992-05-01,0.018232157,25000,Industry
Maximum data,,1993-06-15,,1658364,Industry
Maximum data,,1994-10-22,,,Academia
Maximum data,,1995-06-26,,,Academia
Maximum data,,2007-06-22,1449.4465,299999985664,Industry
Maximum data,,2021-02-13,5490000,100000000,Academia and industry collaboration
Maximum data,,2024-09-19,7800000000,72700002304,Industry
Maximum parameters,,1950-07-02,4e-14,40,Industry
Maximum parameters,,1955-03-01,,225,Academia
Maximum parameters,,1957-01-01,6.948949e-10,1000,Academia
Maximum parameters,,1959-12-01,,2625,Industry
Maximum parameters,,1975-09-01,5.76e-9,28800,Industry
Maximum parameters,,1980-04-01,2.281152e-7,1140576,Industry
Maximum parameters,,1993-06-15,,1658364,Industry
Maximum parameters,,1995-09-01,,100000000,Industry
Maximum parameters,,2001-12-08,0.063,120000000,Industry
Maximum parameters,,2007-06-22,1449.4465,299999985664,Industry
Maximum parameters,,2021-01-11,82200000,1571000025088,Industry
Maximum parameters,,2023-10-25,,1599999967232,Academia and industry collaboration
Maxout Networks,,2013-02-18,,,Academia
MedBERT,,2021-05-20,9470,17000000,Academia
Meena,,2020-01-28,112000000,2600000000,Industry
MegaScale (Production),,2024-02-23,12000000000,529999986688,Academia and industry collaboration
MegaSyn,,2022-03-07,,,Industry
Megatron-BERT,,2019-09-17,22000002,3900000000,Industry
Megatron-LM (8.3B),,2019-09-17,9100000,8300000256,Industry
Megatron-Turing NLG 530B,,2021-10-11,1170000000,529999986688,Industry
MemoReader,,2018-10-31,,,Academia and industry collaboration
Mesh-TensorFlow Transformer 2.9B (translation),,2018-11-05,68428.805,2900000000,Industry
Mesh-TensorFlow Transformer 4.9B (language),,2018-11-05,161740.8,4899999744,Industry
MetNet,,2020-03-24,,,Industry
Meta Pseudo Labels,,2021-03-01,47900004,480000000,Industry
MetaLM,,2022-06-13,,,Industry
MetaMimic,,2018-10-11,,22000000,Industry
Mid-level Features,,2010-06-13,,,Academia
Midjourney V1,,2022-02-15,,,Industry
Minerva (540B),,2022-06-29,2741500200,540349988864,Industry
Mistral Large 2,,2024-07-24,,122999996416,Industry
Mitosis,,2013-09-22,137,37230,Academia
Mixtral 8x7B,,2023-12-11,,46699999232,Industry
Mixture of linear models,,1994-01-01,0.0004536,384000,Other
MnasNet-A1 + SSDLite,,2019-05-29,1500000,4900000,Industry
MnasNet-A3,,2019-05-29,1500000,5200000,Industry
Mnemonic Reader,,2017-05-08,,,Academia and industry collaboration
MoCo,,2019-11-13,,375000000,Industry
MoE-Multi,,2017-01-23,93939.055,8700000256,Academia and industry collaboration
MobileNet,,2017-04-17,,4200000,Industry
MobileNetV2,,2018-06-18,,3400000,Industry
"Mogrifier (d2, MoS2, MC) + dynamic eval",,2019-09-04,,35000000,Academia and industry collaboration
Mogrifier RLSTM (WT2),,2022-11-03,140,35000000,Industry
Monocular Depth Prediction,,2005-12-05,,1472256,Academia
Motion-Driven 3D Feature Tracking,,1988-07-01,,,Industry
MuZero,,2019-11-19,48000,36864000,Industry
Multi-cell LSTM,,2018-11-15,2.01,7200000,Academia
Multi-scale Dilated CNN,,2015-11-23,,,Academia and industry collaboration
Multi-task Cascaded CNN,,2016-08-26,,,Academia
MultiBand Diffusion,,2023-11-08,26000,,Academia and industry collaboration
Multilingual DNN,,2013-05-26,,206899200,Industry
Multiresolution CNN,,2014-06-23,,126125568,Academia and industry collaboration
Multiscale deformable part model,,2008-06-23,,,Academia
MusicGen,,2023-06-08,,3359000064,Industry
MusicLM,,2023-01-26,,860000000,Industry
NAS with base 8 and shared embeddings,,2016-11-05,10.5,54000000,Industry
NAS+ESS (156M),,2020-05-06,2890,156000000,Academia and industry collaboration
NASNet-A,,2017-07-21,,89000000,Industry
NASv3 (CIFAR-10),,2016-11-05,2200000,37400000,Industry
NEAT,,2002-06-01,,,Academia
NLLB,,2022-07-06,17511138,54499999744,Industry
NLP from scratch,,2011-11-08,,5000000,Academia and industry collaboration
NMT Transformer 437M,,2019-02-28,,437700000,Academia and industry collaboration
NPLM,,2003-03-15,1.3038988,11904264,Academia
NTM,,2014-12-10,,,Industry
Named Entity Recognition model,,2016-05-29,96.940796,,Academia
Nemotron-3-8B,,2023-11-15,180000000,8000000000,Industry
Nemotron-4 340B,,2024-06-14,18000000000,340000014336,Industry
Neocognitron,,1980-04-01,2.281152e-7,1140576,Industry
NetTalk (dictionary),,1987-06-06,0.000027664064,18629,Academia
NetTalk (transcription),,1987-06-06,0.000028328002,18629,Academia
Netflix Recommender System,,2015-12-01,,,Industry
Network in Network,,2013-12-16,,,Academia
NeuMF (Pinterest),,2017-08-16,,,Academia
Neural LM,,2000-01-01,6.339,6906980,Academia
Neuro-Symbolic Concept Learner,,2019-04-26,,,Academia and industry collaboration
NeuroChess,,1994-01-01,0.0008587308,72251,Other
Noisy Student (L2),,2019-11-11,849346.6,480000000,Academia and industry collaboration
NoisyNet-Dueling,,2017-06-30,,,Industry
Nucleotide Transformer,,2023-01-15,8080000,2500000000,Academia and industry collaboration
NÜWA,,2021-11-24,4838400,870000000,Academia and industry collaboration
ONE-PEACE,,2023-05-18,180000,4000000000,Academia and industry collaboration
OPT-175B,,2022-05-02,430000030,174999994368,Industry
OR-WideResNet,,2017-01-07,,18200000,Academia
OmegaPLM,,2022-07-22,10351411,670000000,Academia
OmniVec,,2023-11-07,,,Industry
Once for All,,2020-04-29,1784281,7700000,Academia and industry collaboration
OntoProtein,,2022-01-23,,420000000,Academia
OpenAI Five,,2019-12-13,67000004,159000000,Industry
OpenAI Five Rerun,,2019-12-13,13000000,159000000,Industry
OpenAI TI7 DOTA 1v1,,2017-08-11,604609.5,,Industry
OpenVLA,,2024-06-13,110000000,7188100096,Academia and industry collaboration
Optimized Multi-Scale Edge Detection,,1986-11-01,,,Academia
Optimized Single-layer Net,,2011-04-11,,,Academia
OverFeat,,2013-12-21,,,Academia
PDP model for serial order,,1986-01-05,,,Academia
PG-SWGAN,,2019-06-15,,,Academia
PLATO-XL,,2021-09-20,9900000,11000000512,Industry
PLUG,,2021-04-19,35997696,27000000512,Industry
PNAS-net,,2017-12-02,,86000000,Academia and industry collaboration
PNASNet-5,,2017-12-02,66290.4,,Academia and industry collaboration
PPLX-70B-Online,,2023-11-29,,70000001024,Industry
PSPNet,,2017-07-21,,,Academia
PaLI,,2022-09-14,62042110,16899999744,Industry
PaLI-X,,2023-05-29,,54999998464,Industry
PaLM (540B),,2022-04-04,2527200000,540349988864,Industry
PaLM 2,,2023-05-10,7339999700,340000014336,Industry
PaLM-E,,2023-03-06,,561999970304,Academia and industry collaboration
PanGu-Σ,,2023-03-20,467000000,1084999991296,Industry
Pandemonium (morse),,1959-02-01,6e-7,,Academia
Pangu-Weather,,2023-07-05,39800000,256000000,Industry
Paragraph Vector,,2014-05-14,,32000000,Industry
Part-of-sentence tagging model,,2016-05-29,145.41121,,Academia
Parti,,2022-06-22,396289540,20000000000,Industry
Pattern recognition and reading by machine,,1959-12-01,,2625,Industry
PeptideBERT,,2023-08-28,49.000004,,Academia
Perceiver IO (optical flow),,2020-02-08,,27900000,Industry
Perceptron (1960),,1960-03-30,7.2e-7,1000,Academia
Perceptron Mark I,,1957-01-01,6.948949e-10,1000,Academia
Perceptron for Large Margin Classification,,1999-12-01,,,Academia and industry collaboration
PermuteFormer,,2021-09-06,2775,149697024,Academia
Phenaki,,2022-10-05,,1800000000,Academia and industry collaboration
Photo-Geometric Autoencoder,,2019-11-25,,,Academia
Phrase-based translation,,2003-05-01,,9178890,Academia
PhraseCond,,2017-10-28,,,Academia
Piecewise linear model,,1973-11-01,,357,Academia
Pluribus,,2019-07-11,66,,Industry
PoE MNIST,,2000-01-01,0.051810004,3925310,Academia
PointNet,,2016-12-02,,,Academia
PointNet++,,2017-06-07,,,Academia
Pointer Sentinel-LSTM (medium),,2016-09-26,7.49,21000000,Industry
PolyCoder,,2022-02-26,1100000,2700000000,Academia
PolyNet,,2016-11-17,64000,92000000,Academia
Population-based DRL,,2018-07-03,34900,122000000,Industry
Pragmatic Theory solution (Netflix 2009),,2009-08-01,,,Industry
PreTrans-3L-250H,,2013-03-22,,43000000,Academia
Predictive Coding NN,,1994-01-01,0.018621901,206910,Academia
Print Recognition Logic,,1963-01-01,2.25e-8,,Industry
ProBERTa,,2020-09-01,9720.001,44000000,Academia
ProGen2-xlarge,,2022-06-27,13500001,6400000000,Academia and industry collaboration
ProgressiveGAN,,2017-10-27,,,Industry
Projected GAN,,2021-11-01,10500,,Academia
ProtBERT-BFD,,2021-05-04,39000004,420000000,Other
ProtT5-XXL,,2021-05-04,73700000,11000000512,Other
ProtT5-XXL-BFD,,2021-05-04,37000000,11000000512,Other
ProteinBERT,,2022-02-10,65000,16000000,Academia and industry collaboration
ProteinDT,,2023-02-09,,,Academia and industry collaboration
Prototypical networks,,2017-03-15,,,Academia and industry collaboration
ProxylessNAS,,2019-02-23,37065.6,,Academia
PyramidNet,,2017-09-06,2.34,26000000,Academia
Q-learning,,1989-01-01,,,Academia
QMoE: compressed 1T model,,2023-10-25,,1599999967232,Academia and industry collaboration
QRNN,,2018-02-01,360,135000000,Industry
QT-Opt,,2018-06-27,34875,1200000,Academia and industry collaboration
Qwen-72B,,2023-11-30,1300000000,71999995904,Industry
Qwen-Audio-Chat,,2023-11-14,,8460000256,Industry
Qwen-VL,,2023-08-24,,9600000000,Industry
Qwen-VL-Max,,2024-01-25,,7000000000,Industry
Qwen1.5 72B,,2024-02-04,1300000000,71999995904,Industry
Qwen2-72B,,2024-06-07,3020000000,72709996544,Industry
Qwen2.5-72B,,2024-09-19,7800000000,72700002304,Industry
R-CNN (T-net),,2013-11-11,,69003872,Academia
R-FCN,,2016-06-21,61.492943,,Academia and industry collaboration
RAAM,,1990-11-01,,1536,Other
RBM Image Classifier,,2009-04-08,,80000000,Academia
RCAN,,2018-07-08,,,Academia
RCTM,,2013-10-01,9.3312,,Academia
RETRO-7B,,2022-02-07,16800000,7500000256,Industry
RNN 500/10 + RT09 LM (NIST RT05),,2010-09-26,3.414636,5269500,Academia
RNN LM,,2010-01-01,,,Academia
RNN for 1B words,,2013-12-11,,20000000000,Industry
RNN+LDA+KN5+cache,,2012-12-01,,9000000,Academia and industry collaboration
RNN+weight noise+dynamic eval,,2013-08-04,4.21,54000000,Academia
RNN-SpeedUp,,2011-05-22,,,Academia
RNN-WER,,2014-06-22,,26500000,Academia and industry collaboration
RNNsearch-50*,,2014-09-01,1555.2,,Academia
RNTN,,2013-10-01,14.22,,Academia
RT-1,,2022-12-13,,35000000,Industry
RT-2,,2023-07-28,,54999998464,Industry
RT-2-X,,2023-10-13,,54999998464,Industry
RT-Trajectory,,2023-11-03,,,Academia and industry collaboration
Random Decision Forests,,1995-08-14,,,Industry
RankNet,,2005-08-07,0.0034820817,5711,Industry
Rational DQN Average,,2021-02-18,,1683456,Academia
ReALM,,2024-03-29,,3000000000,Industry
ReLU (LFW),,2010-06-15,,,Academia
ReLU (NORB),,2010-06-15,,16210006,Academia
ReLU-Speech,,2013-05-26,127.733765,101706240,Academia and industry collaboration
Reading Twice for NLU,,2017-06-08,,,Industry
Recursive Neural Network,,2011-06-28,,,Academia
Recursive sentiment autoencoder,,2011-07-01,,,Academia
RefineNet,,2016-11-20,,,Academia
Refined Part Pooling,,2018-01-09,,,Academia
Regularized SVD for Collaborative Filtering,,2007-08-12,,,Academia
Relational Memory Core,,2018-06-05,,,Academia and industry collaboration
ResNeXt-101 32x48d,,2018-05-02,8743950,829000000,Industry
ResNeXt-101 Billion-scale,,2019-05-02,,193000000,Industry
ResNeXt-50,,2016-11-16,,25000000,Academia and industry collaboration
ResNet-1001,,2016-09-17,,10200000,Industry
ResNet-110 (CIFAR-10),,2015-12-10,,1700000,Industry
ResNet-152 (ImageNet),,2015-12-10,10414.081,60200000,Industry
ResNet-152 + ObjectNet,,2019-09-06,19400.002,38000000,Academia
ResNet-200,,2016-09-17,29741.645,,Industry
ResNet-50 Billion-scale,,2019-05-02,,25000000,Industry
Residual Dense Network,,2018-02-24,,,Academia
Restricted Bolzmann machines,,2007-06-20,,,Academia
RetinaNet-R101,,2017-08-07,2065.392,53000000,Industry
RetinaNet-R50,,2017-08-07,,34000000,Industry
Retrieval-Augmented Generator,,2020-05-22,,626000000,Academia and industry collaboration
RoBERTa Large,,2019-07-01,4153835.5,355000000,Academia and industry collaboration
RoboCat,,2023-06-20,,1180000000,Industry
Robot Parkour,,2023-09-12,,500000,Academia
Rotation,,2018-03-21,,86000000,Academia
Routing Transformer (WT-103),,2020-03-12,,79500000,Industry
S-Norm,,2017-10-29,,,Other
S4,,2021-10-31,600000,249000000,Academia
SACHS,,2005-04-22,,178,Academia
SB-LM,,2007-06-22,1449.4465,299999985664,Industry
SC-NLM,,2014-11-10,,,Academia
SEER,,2021-07-29,4420000,1300000000,Academia and industry collaboration
SENet (ImageNet),,2017-09-05,,28100000,Academia
SNARC,,1952-01-08,,40,Academia
SOM-CNN,,1997-01-01,0.0033577813,32015,Other
SPHINX (Llama 2 13B),,2023-11-13,30400000,19900000256,Academia
SPIDER2,,2016-10-28,18.220001,409536,Academia
SPN-4+KN5,,2014-01-01,44,5000000,Other
SPPNet,,2014-06-18,3411.072,,Academia and industry collaboration
SRGAN,,2017-05-25,,,Industry
SRN-Encoded Grammatical Structures,,1991-09-01,,,Academia
SRU++ Large,,2021-02-24,11000,234000000,Industry
SSD,,2015-12-08,,,Other
ST-MoE,,2022-02-17,290000000,268999999488,Industry
SVD in recommender systems,,2000-07-14,,,Academia
SVM for face detection,,1997-06-17,,,Academia
Samuel Neural Checkers,,1959-07-01,4.284e-7,16,Industry
Sandwich Transformer,,2019-11-10,158000,209000000,Other
SciBERT,,2019-03-26,89268.48,110000000,Other
SeamlessM4T,,2023-12-08,,2300000000,Academia and industry collaboration
Search-Proven Best LSTM,,2015-07-06,3.3400002,20000000,Industry
"Segatron-XL large, M=384 + HCP",,2022-03-21,26500,257000000,Academia and industry collaboration
Segment Anything Model,,2023-04-05,7800000,636000000,Industry
Selective Search,,2013-04-02,,,Academia
Self Organizing System,,1955-03-01,,225,Academia
SemExp,,2020-07-02,,,Academia and industry collaboration
SemVec,,2013-06-09,,,Industry
Semantic Hashing,,2008-12-10,,2600000,Academia
Semi-Supervised Embedding for DL,,2008-07-05,,,Academia and industry collaboration
Seq2Seq LSTM,,2014-09-10,56000,1920000000,Industry
Sequence-based pattern recognition,,1955-03-01,,,Academia
SexNet classification,,1990-10-01,,1640,Other
SexNet compression,,1990-10-01,0.0000787752,72940,Other
Show-1,,2023-09-27,,,Academia
ShuffleNet v1,,2017-07-03,,2430000,Industry
ShuffleNet v2,,2018-06-30,,2280000,Academia and industry collaboration
Siamese-TDNN,,1993-08-01,0.01286957,744,Industry
SimCLR,,2020-02-13,,375000000,Industry
SimCLRv2,,2020-10-26,,795000000,Industry
SimCSE,,2022-05-18,,,Academia
SimpleNet,,2016-08-22,,5480000,Academia and industry collaboration
Skywork-13B,,2023-10-30,250000000,12999999488,Industry
SmooCT,,2014-07-01,69,,Academia
Social and content-based classification,,1998-07-01,,,Academia and industry collaboration
Sora,,2024-02-15,,,Industry
Sparse Energy-Based Model,,2006-12-04,,,Academia
Sparse Non-negative Matrix (SNM) estimation,,2014-12-03,,62000001024,Industry
Sparse Vision Encoding,,2006-11-01,0.0096048005,,Academia
Sparse all-MLP,,2022-04-14,60770.305,9409999872,Industry
Sparse coding model for V1 receptive fields,,1997-12-01,,,Academia
Sparse digit recognition SVM,,2008-11-19,,,Academia
Spatial Pyramid Matching,,2006-06-17,,,Academia
Spatially-Sparse CNN,,2014-09-23,,,Academia
Spatiotemporal fusion ConvNet,,2016-06-01,,,Academia
Speaker-independent vowel classification,,1989-01-01,0.000007485696,3040,Academia
SpecAugment,,2019-04-18,,,Industry
Spectrally Normalized GAN,,2018-02-16,,,Academia and industry collaboration
SqueezeNet,,2016-02-24,,1200000,Academia
Stable Diffusion (LDM-KL-8-G),,2022-04-13,50000000,1450000000,Academia and industry collaboration
Stable Diffusion XL,,2023-07-04,,3400000000,Industry
Stacked Denoising Autoencoders,,2010-01-03,,,Academia
Stacked hourglass network,,2016-09-17,,,Academia
Stanley (DARPA Grand Challenge 2),,2006-01-01,,,Academia
StarCoder,,2023-05-09,84600000,15500000256,Other
StarGAN v2,,2019-12-04,,,Academia and industry collaboration
Statement Curriculum Learning,,2022-03-02,,774000000,Industry
Statistical Shape Constellations,,2003-01-01,,,Academia
Statistical continuous speech recognizer,,1976-04-30,,,Academia
Student of Games,,2021-12-06,36679270,,Industry
Super-vector coding,,2010-01-01,,1025,Academia and industry collaboration
Support Vector Machines,,1995-09-01,,100000000,Industry
Swift,,2023-08-30,53.37,56804,Industry
Swin Transformer V2,,2021-11-18,1100000,3000000000,Industry
Switch,,2021-01-11,82200000,1571000025088,Industry
Symmetric Residual Encoder-Decoder Net,,2016-03-30,,,Academia
System 11,,1996-06-18,0.00001293,6452,Academia
T0-XXL,,2021-10-15,918190.06,11000000512,Academia and industry collaboration
T5-11B,,2019-10-23,33000000,11000000512,Industry
T5-3B,,2019-10-23,865865.44,2800000000,Industry
TCAN (WT2),,2020-02-28,,33000000,Academia and industry collaboration
TCN (P-MNIST),,2018-02-15,,42000,Academia and industry collaboration
TD(0),,1977-08-01,,,Academia
TD-Gammon,,1992-05-01,0.018232157,25000,Industry
TFE SVM,,2006-02-02,,,Academia
TRPO,,2015-02-19,,33500,Academia
TSN,,2016-09-17,,,Academia
TaLK Convolution,,2020-02-08,27800,240000000,Academia
Table Tennis Agent,,2024-08-07,,185000,Industry
Tacotron 2,,2017-12-19,,,Academia and industry collaboration
Tagging via Viterbi Decoding,,2002-06-01,,,Industry
Tensor-Transformer(1core)+PN (WT103),,2020-03-17,1580,85300000,Academia
TensorReasoner,,2013-12-01,,,Academia
Tensorized Transformer (257M),,2019-06-24,4760.0005,257000000,Academia and industry collaboration
Textual Imager,,2013-01-16,,,Academia
Theseus,,1950-07-02,4e-14,40,Industry
Theseus 6/768,,2020-02-07,,66000000,Academia and industry collaboration
Thumbs Up?,,2002-05-28,,,Academia and industry collaboration
Time-delay neural networks,,1989-03-03,,,Academia and industry collaboration
TrOCR,,2021-09-21,,558000000,Academia and industry collaboration
Trajectory-pooled conv nets,,2015-05-19,,9106245,Academia
TranceptEve,,2022-12-10,,,Academia
Tranception,,2022-05-27,7240000.5,700000000,Academia and industry collaboration
TransE,,2013-12-05,1340.928,942000000,Academia and industry collaboration
Transformer,,2017-06-12,7424.525,213000000,Industry
Transformer (Adaptive Input Embeddings) WT103,,2018-09-28,72000,247000000,Industry
Transformer + Simple Recurrent Unit,,2018-09-17,11000,90000000,Academia and industry collaboration
Transformer - LibriVox + Decoding/Rescoring,,2019-11-19,,296000000,Industry
Transformer ELMo,,2019-01-01,,56000000,Other
Transformer local-attention (NesT-B),,2021-05-26,24057.602,90100000,Industry
Transformer-XL (257M),,2019-01-09,10900,257000000,Academia and industry collaboration
Transformer-XL + RMS dynamic eval,,2019-04-17,,257000000,Academia
Transformer-XL DeFINE (141M),,2019-11-27,6200,141000000,Other
Transformer-XL Large + Phrase Induction,,2019-06-04,7300.0005,257000000,Academia
TransformerXL + spectrum control,,2020-03-11,460,151000000,Academia and industry collaboration
TrellisNet,,2018-10-15,2780,180000000,Academia and industry collaboration
TriNet,,2017-11-21,,,Academia
Truck backer-upper,,1989-06-18,,805,Academia
True-Regularization+Finetune+Dynamic-Eval,,2019-04-08,,7000000,Academia and industry collaboration
Turing-NLG,,2020-02-13,15700000,16999999488,Industry
Two Stage Feature Extraction for Object Recognition,,2009-09-29,0.4069836,233506,Academia
Two-stream ConvNets for action recognition,,2014-06-09,,,Academia
U-PaLM (540B),,2022-10-20,2530000100,539999993856,Industry
UDSMProt,,2019-09-04,637,28303800,Other
UL2,,2022-05-10,120000000,20000000000,Industry
ULM-FiT,,2018-01-18,272.538,441000000,Academia
UnifiedQA,,2020-05-02,16500,11000000512,Other
Unsupervised High-level Feature Learner,,2012-07-12,600,1000000000,Industry
Unsupervised Scale-Invariant Learning,,2003-06-18,,451,Academia
VALL-E,,2023-01-05,10100,353000000,Industry
VD-LSTM+REAL Large,,2016-11-04,21.3,51000000,Academia and industry collaboration
VD-RHN,,2016-07-12,3.57,32000000,Academia
VGG16,,2014-09-04,12291,138000000,Academia
VGG19,,2014-09-04,,144000000,Academia
VQGAN + CLIP,,2020-12-17,,,Academia
"Variational (untied weights, MC) LSTM (Large)",,2015-12-16,5.6200004,66000000,Academia
Vector Space Model,,2011-06-19,,255000,Academia
ViT + DINO,,2021-04-29,210000,85000000,Academia and industry collaboration
ViT-22B,,2023-02-10,400010020,21742999552,Industry
ViT-Base/32,,2020-10-22,,86000000,Industry
ViT-G (model soup),,2022-03-10,3400000.2,1843000064,Academia and industry collaboration
ViT-G/14,,2021-06-08,58500000,1843000064,Industry
ViT-G/14 (LiT),,2021-11-15,,3004999936,Industry
ViT-Huge/14,,2020-10-22,4262000,632000000,Industry
VideoMAE V2,,2023-03-29,9700000,1000000000,Academia
Visualizing CNNs,,2013-11-12,532,,Academia
Volcano 13B,,2023-11-13,45600000,12999999488,Academia and industry collaboration
W2v-BERT,,2021-08-07,,1000000000,Academia and industry collaboration
WGAN-GP,,2017-03-31,,,Academia
Walking Minotaur robot,,2019-06-19,,,Academia and industry collaboration
WaveNet,,2016-09-12,,,Industry
WeNet (Penn Treebank),,2019-04-08,730,23000000,Industry
Weight Decay,,1991-12-02,0.000075474,8386,Other
Whisper,,2022-09-21,4207266.5,1550000000,Industry
Wide & Deep,,2016-06-24,,,Industry
Wide Residual Network,,2016-09-19,,,Academia
Word Representations,,2010-06-01,,,Academia
Word2Vec (large),,2013-10-16,38.879997,692000000,Industry
Word2Vec (small),,2013-10-16,,207600000,Industry
XGLM-7.5B,,2021-12-20,22500000,7500000256,Industry
XLM,,2019-06-01,,665000000,Industry
XLM-RoBERTa,,2019-11-05,,550000000,Industry
XLMR-XXL,,2021-08-17,33660000,10700000256,Industry
XLNet,,2019-06-01,8900000,340000000,Academia and industry collaboration
Xception,,2016-10-07,436000,22855952,Industry
YOLO,,2015-06-08,,271684800,Other
YOLOX-X,,2021-08-06,,99100000,Industry
YOLOv2,,2016-12-25,,51000000,Other
YOLOv3,,2018-04-08,50939.2,56933216,Academia
Yi-34B,,2023-11-02,610000060,33999998976,Industry
YouTube Video Recommendation System,,2010-09-26,,,Industry
Youtube recommendation model,,2016-09-15,,,Industry
Yuan 1.0,,2021-10-12,353800030,245730000896,Industry
Zidong Taichu,,2021-08-11,,3200000000,Academia
Zip CNN,,1989-12-01,0.000043372118,9760,Industry
Zoneout + Variational LSTM (WT2),,2016-09-26,16.8,21000000,Industry
aLSTM(depth-2)+RecurrentPolicy (WT2),,2018-05-22,75.9,32000000,Other
base LM+GNN+kNN,,2021-10-17,7300.0005,274000000,Academia and industry collaboration
data2vec (language),,2022-01-20,,705134592,Industry
data2vec (speech),,2022-01-20,,705134592,Industry
data2vec (vision),,2022-01-20,,705134592,Industry
eDiff-I,,2022-11-02,54600.004,9100000256,Industry
fastText,,2016-07-06,,,Industry
genCNN + dyn eval,,2015-03-17,73,8000000,Academia and industry collaboration
iGPT-L,,2020-06-17,8910000,1362000000,Industry
iGPT-XL,,2020-06-17,33000000,6800999936,Industry
mPLUG-Owl2,,2023-11-07,,7120000000,Industry
mT0-13B,,2022-11-03,,12999999488,Other
mT5-XXL,,2020-10-20,82000000,12999999488,Industry
top-down frozen classifier,,2021-02-09,,,Academia and industry collaboration
wave2vec 2.0 LARGE,,2020-10-22,1900000,317000000,Industry
xTrimoPGLM -100B,,2023-07-06,620000000,99999997952,Academia and industry collaboration
λ-WASP,,2007-06-01,,,Academia
