Entity,Code,Day,Number of parameters
AmoebaNet-A (F=190),,2018-02-05,87000000
AmoebaNet-A (F=448),,2018-02-05,469000000
Ankh_large,,2023-01-16,1900000000
AudioGen,,2023-03-05,1000000000
AudioLM,,2023-07-26,1500000000
Aya,,2024-02-12,13000000000
BART-large,,2019-10-29,406291460
BASIC-L,,2021-11-19,3070000000
BASIC-L + Lion,,2023-02-13,3070000000
BEIT-3,,2022-08-22,1900000000
BERT-Large,,2018-10-11,340000000
BERT-Large-CAS (PTB+WT2+WT103),,2019-04-20,395000000
BERT-RBP,,2022-04-07,110000000
BIDAF,,2016-11-05,2600000
BLIP-2 (Q-Former),,2023-01-30,1480000000
BLOOM-176B,,2022-11-08,176247280000
BLOOMZ-176B,,2022-11-03,176000000000
BLSTM for handwriting (2),,2007-12-03,100881
BLUUMI,,2023-11-03,176000000000
Back-propagation,,1986-10-01,144
Bankruptcy-NN,,1990-06-17,36
Base LM + kNN LM + Continuous Cache,,2019-11-01,247000000
BatchNorm,,2015-06-15,13600000
BiLSTM for Speech,,2005-08-01,152061
Bidirectional RNN,,1997-11-01,13000
Big Transfer (BiT-L),,2019-12-24,928000000
Big-Little Net,,2018-07-10,77360000
Big-Little Net (speech),,2018-07-10,3320000
BigBiGAN,,2019-07-04,86000000
BigGAN-deep 512x512,,2018-09-28,112694780
BigSSL,,2021-01-10,8000000000
Binarized Neural Network (MNIST),,2016-03-17,37000000
BlenderBot 3,,2022-08-10,175000000000
BloombergGPT,,2023-03-30,50558870000
Boosting,,1992-11-30,2578
ByT5-XXL,,2021-05-28,12900000000
CLIP (ResNet-50),,2021-01-05,88600000
CLIP (ViT L/14@336px),,2021-01-05,370000000
CODEFUSION (Python),,2023-10-26,75000000
CPC v2,,2019-05-22,303000000
CPM-Large,,2020-12-01,2600000000
CT-MoS (WT2),,2020-12-25,45000000
CTC-Trained LSTM,,2006-06-25,114662
CURL,,2020-04-08,907264
CaLM,,2022-12-19,86000000
CamemBERT,,2019-11-10,335000000
Cancer drug mechanism prediction,,1992-10-16,594
CapsNet (MNIST),,2017-10-26,8200000
CapsNet (MultiMNIST),,2017-10-26,11360000
Ceramic-MLP,,1994-01-01,1888
ChatGLM3-6B,,2023-10-27,6000000000
Chinchilla,,2022-03-29,70000000000
CoAtNet,,2021-06-09,2440000000
CoCa,,2022-06-14,2100000000
CoEdiT-xxl,,2023-05-17,11000000000
CoRe,,2023-12-29,12400000000
CodeT5+,,2023-05-20,16000000000
CodeT5-base,,2021-11-01,220000000
CodeT5-large,,2022-07-05,770000000
Codex,,2021-07-07,12000000000
CogAgent,,2023-12-14,18000000000
CogVLM-17B,,2023-11-06,17000000000
CogVideo,,2022-05-29,9400000000
CogView,,2021-05-26,4000000000
Cognitron,,1975-09-01,28800
Conformer,,2020-05-16,118800000
Conformer + Wav2vec 2.0 + Noisy Student,,2020-10-20,1000000000
Constituency-Tree LSTM,,2015-02-28,205190
ContextNet,,2020-05-07,112700000
Contriever,,2021-12-16,110000000
DALL-E,,2021-01-05,12000000000
DALL·E 2,,2022-04-06,3500000000
DARTS,,2018-06-24,33000000
DBLSTM,,2013-12-08,29900000
DDPM-IP (CelebA),,2023-01-27,295000000
DETR,,2020-05-26,60000000
DINOv2,,2023-04-14,1140000000
DITTO,,2022-06-06,750000000
DImensionality Reduction,,2006-07-18,3800000
DLRM-2020,,2019-05-31,100000000000
DNABERT,,2021-08-15,110000000
DOT(S)-RNN,,2013-12-20,6160000
DQN,,2013-12-19,836096
DQN-2015,,2015-02-25,1693362
DeBERTa,,2021-06-10,1500000000
DeBERTaV3-large + KEAR,,2021-12-06,418000000
DeLighT,,2020-08-03,99000000
Decision tree (classification),,2001-12-08,120000000
Decision tree adaline,,1969-05-01,2450
Decoupled weight decay regularization,,2019-01-04,36500000
Deep Belief Nets,,2006-07-18,1600000
Deep Blue,,1997-05-01,8000
Deep Multitask NLP Network,,2008-07-05,1500000
DeepNet,,2022-03-01,3200000000
DeepSeek-Coder-V2 236B,,2024-06-17,236000000000
DeepSpeech2 (English),,2015-12-08,38000000
DeepStack,,2017-01-06,2500000
DeiT-B,,2021-01-15,86000000
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021-06-11,256000000
DenseNet-264,,2016-08-25,34000000
Detic,,2022-01-07,88000000
DiT-XL/2,,2023-03-02,675000000
DiT-XL/2 + CADS,,2023-10-26,675000000
DiffDock,,2022-10-04,20240000
Diffractive Deep Neural Network,,2018-04-14,8000000000
DistBelief Speech,,2012-12-03,47185920
DistBelief Vision,,2012-12-03,1700000000
DistilBERT,,2019-10-02,66000000
Distributed representation NN,,1986-01-01,432
Domain Adaptation,,2011-11-06,15260
DrLIM,,2006-06-17,37097
Dropout (MNIST),,2012-06-03,5592010
Dropout (TIMIT),,2012-06-03,48840184
Dropout-LSTM+Noise(Bernoulli) (WT2),,2018-05-03,51000000
Dropout: SVHN,,2014-06-01,47795230
EI-REHN-1000D,,2017-08-14,19000000
ELECTRA,,2020-03-23,335000000
ELMo,,2018-02-01,94000000
EMDR,,2021-06-09,440000000
ENAS,,2018-02-09,24000000
EN^2AS with performance reward,,2019-07-22,23000000
ERNIE 3.0,,2021-07-05,10000000000
ERNIE 3.0 Titan,,2021-12-23,260000000000
ERNIE-Doc (247M),,2020-12-31,247000000
